Standort;Straße;Hausnummer;PLZ;Ort;Station ID;Device ID;icon;slug;Name;Gerätetyp;Hersteller;Sensorart;Typ;Sensortyp;Sensorstatus;Sensormodell;Installationshöhe;Installationsdatum;Kommune
51.48472, 7.50269;Clarenberg;1;44263;Dortmund;DOBCLA;66643904-4855-436a-9ec6-bd695f1eed8a;devices;dec005307;DEC005307;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-08;Dortmund
51.55210849344351, 7.544515137413732;Gleiwitzstraße;277;44328;Dortmund;DODGWS;687b40db-4d66-488d-a01b-fb82d6404f65;devices;dec00546e;DEC00546E;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-08;Dortmund
51.49146258179979, 7.563339438462499;Schweizer Allee;18;44287;Dortmund;DOBGAS;6fa235da-2649-4e48-a308-10575f3a377d;devices;dec00547c;DEC00547C;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-03-14;Dortmund
51.52820301884539, 7.48333434405322;Oesterholzstraße;122;44145;Dortmund;DOBOHS;89262670-1205-4e6a-83db-0545692abea9;devices;dec00547a;DEC00547A;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2025-03-04;Dortmund
51.50910275108166, 7.456720547474519;Beurhausstraße;39;44137;Dortmund;DOBBHS;dfa81526-a4bf-4434-bc02-d850d1abbd98;devices;dec005472;DEC005472;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-21;Dortmund
51.55516, 7.54492;Peschweg;23;44328;Dortmund;DOBPSW;e5219795-9f53-469f-bdbf-8cfb8024c1aa;devices;dec00547d;DEC00547D;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-11-12;Dortmund
51.516898431325856, 7.459445718650828;Königswall;15;44137;Dortmund;DOBHBF;f11f62d0-4909-4e45-be5d-41be660f11b7;devices;dec005304;DEC005304;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-07;Dortmund
51.50870298541893, 7.529203981729976;Küßnachtstraße;27;44143;Dortmund;DOTKNS;010db919-1dc0-48d9-aa6d-d7bea6c65399;devices;dec0054cf;DEC0054CF;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.51116, 7.46607;Friedensplatz;;44135;Dortmund;DODFRP;0126d246-05e1-43c7-a0df-3765cf982022;devices;dec0054a6;DEC0054A6;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-06;Dortmund
51.537668136239766, 7.409589908124937;Lilienthalstraße;30;44369;Dortmund;DOTLTS;02d5389f-6ee2-4a16-abc0-87953cc17250;devices;dec0054b3;DEC0054B3;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.48498718441803, 7.587397004774964;Irisstraße;9;44289;Dortmund;DOTIRS;20c6be10-a510-42a3-93af-539787f66f38;devices;dec0054c2;DEC0054C2;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-08;Dortmund
51.45467, 7.46111;Patroklusweg;27;44229;Dortmund;DOTPKW;2104a58e-a4f7-4c6c-a395-9c45d3c32814;devices;dec0054af;DEC0054AF;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-15;Dortmund
51.5249423505088, 7.553656017364356;Auf dem Kranz;11;44309;Dortmund;DOTADR;2496f2ca-d2b9-4563-be0e-3ae1df58bc28;devices;dec004d23;DEC004D23;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-17;Dortmund
51.57781, 7.58001;Lanstroper Straße;199;44329;Dortmund;DOTLST;2fd845a4-5823-4894-bacc-06cba80d0875;devices;dec0054b5;DEC0054B5;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.52179768424245, 7.5004328706678285;Berliner Straße;66;44143;Dortmund;DOTBES;3b1f32f5-167d-4121-bd05-1f841b901604;devices;dec004d21;DEC004D21;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-21;Dortmund
51.508234, 7.425488;Am Mühlenberg;;44149;Dortmund;DOTAMB;4228e938-c64c-4493-939a-bd06965c0282;devices;dec004d1f;DEC004D1F;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-13;Dortmund
51.5326028965, 7.506398772;Warmbreitbandstraße;;44145;Dortmund;DOTWBB;431bbb55-d2cb-4595-8204-de60be228164;devices;dec004d1b;DEC004D1B;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-16;Dortmund
51.55210849344351, 7.544515137413732;Gleiwitzstraße;227;44328;Dortmund;DODGWS;435f6eb8-5d22-4b8c-bdce-1830b7438539;devices;dec0054bd;DEC0054BD;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-08;Dortmund
51.55136316431537, 7.450917907285825;Wartenburgstraße;23;44339;Dortmund;DOTWBS;64aa6141-e0a3-4fa7-9648-1441fb1edc9a;devices;dec0054b1;DEC0054B1;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.51787, 7.39766;Wischlinger Weg;;44379;Dortmund;DOTWLW;69797613-5425-4f5e-a55b-cfa388fcad71;devices;dec004d22;DEC004D22;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-16;Dortmund
51.57590656676426, 7.439997399889137;Schiffhorst;42;;Dortmund;DOTSFH;a63e457f-310d-4d63-bd8c-00d9fbdb5dc9;devices;dec0054ba;DEC0054BA;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-07;Dortmund
51.5156550571, 7.3161508734;Bövinghauser Dorfstraße;;44388;Dortmund;DOTADK;afb10081-043c-4a8b-8257-b712b9a6b1f7;devices;dec0054c4;DEC0054C4;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-15;Dortmund
51.5522909358, 7.4818204747;Siebenbürgenstraße;13;44339;Dortmund;DOTSBS;bb75b911-fafd-4b73-8aae-fdc1c527d58d;devices;dec0054b4;DEC0054B4;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.496862376407464, 7.435363231519679;AM TALENBERG;;44227;Dortmund;DOTSCS;ecce69ad-1de2-438b-bd65-6bca2633cc64;devices;dec004d20;DEC004D20;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-14;Dortmund
51.5229401099, 7.4814329521;Oesterholzstraße;36-38;44145;Dortmund;DOTOHS;f40000f8-644c-4a2f-9aac-cdca237b55ea;devices;dec0054b7;DEC0054B7;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-10-16;Dortmund
51.491667, 7.495506;Emscherpromenade;;44263;Dortmund;DOTEPM;ea8abc75-71eb-422d-92d4-67e71e27be09;devices;dec004d13;DEC004D13;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-14;Dortmund
