Monat;Personen_insgesamt;Leichtverletzte;Schwerverletzte;Getoetete
Januar;127;115;12;-
Februar;146;127;19;-
März;159;129;30;-
April;192;162;28;2
Mai;199;167;28;4
Juni;325;293;30;2
Juli;256;225;30;1
August;301;262;35;4
September;324;280;42;2
Oktober;270;231;36;3
November;203;174;29;-
Dezember;207;179;28;-
