Monat;Personen_insgesamt;Leichtverletzte;Schwerverletzte;Getoetete
Januar;244;211;32;1
Februar;228;196;31;1
März;259;229;30;-
April;218;187;31;-
Mai;326;285;39;2
Juni;345;299;45;1
Juli;261;235;25;1
August;293;259;34;-
September;303;267;36;-
Oktober;274;239;34;1
November;228;201;27;-
Dezember;179;160;16;3
