Monat;Personen_insgesamt;Leichtverletzte;Schwerverletzte;Getoetete
Januar;211;185;26;-
Februar;206;179;27;-
März;190;171;19;-
April;181;153;27;1
Mai;231;206;25;-
Juni;253;221;32;-
Juli;276;247;27;2
August;286;256;30;-
September;343;304;38;1
Oktober;243;215;24;4
November;213;189;23;1
Dezember;185;162;20;3
