Monat;Personen_insgesamt;Leichtverletzte;Schwerverletzte;Getoetete
Januar; 197;178; 19;-
Februar; 179;166; 13;-
März; 244;212; 32;-
April; 249;220; 29;-
Mai; 274;246; 27; 1
Juni; 326;286; 39; 1
Juli; 311;272; 36; 3
August; 276;238; 38;-
September; 286;242; 44;-
Oktober; 270;247; 22; 1
November; 291;260; 28; 3
Dezember; 240;216; 24;-
