Monat;Personen_insgesamt;Leichtverletzte;Schwerverletzte;Getoetete
Januar;209;180;29;-
Februar;155;132;23;-
März;276;231;44;1
April;231;190;41;-
Mai;331;285;45;1
Juni;312;266;44;2
Juli;268;225;41;2
August;267;230;37;-
September;304;255;48;1
Oktober;276;231;43;2
November;260;236;24;-
Dezember;200;171;27;2
