LATITUDE;LONGITUDE;ART;NAME;EINRICHTUNG;STRASSE;HAUSNUMMER;PLZ;STADT;STADTTEIL;TELEFON;URL;STADTBEZIRK;STADTTEILNR;OSTWERT;NORDWERT
51.1740673;6.86343322;Integrationsagentur;DRK Servicestelle für Antidiskriminierungsarbeit;;Briedestraße;9;40599;Düsseldorf;Reisholz;0211 22991916;;09;094;32350647;5671352
51.16526151;6.88166323;Welcome Point;Arbeiterwohlfahrt Düsseldorf e.V.;;Telleringstraße;56;40597;Düsseldorf;Benrath;0172 9667243;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;09;095;32351893;5670336
51.19434667;6.8142165;Integrationsagentur;Caritasverband Düsseldorf e.V.;;Kölner Landstraße;70;40591;Düsseldorf;Wersten;0211 72139628;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111489;09;091;32347274;5673708
51.20029433;6.84149148;Welcome Point;Diakonie Düsseldorf;;Gumbertstraße;160;40229;Düsseldorf;Eller;0173 7462061;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;08;082;32349199;5674313
51.21470826;6.80461737;Welcome Point;Caritasverband Düsseldorf e.V.;;Kölner Straße;267;40227;Düsseldorf;Oberbilk;0211 16021755;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;03;037;32346671;5675992
51.21805316;6.79692554;Welcome Point;Deutscher Paritätischer Wohlfahrtsverband;;Heinz-Schmöle-Straße;7;40227;Düsseldorf;Oberbilk;0171 4809964;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;03;037;32346145;5676380
51.2059695;6.77715797;Welcome Point;Diakonie Düsseldorf;;Merowinger Straße;24;40223;Düsseldorf;Bilk;0173 1595348;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;03;036;32344724;5675078
51.24121751;6.7824794;Welcome Point;Diakonie Düsseldorf;;Münsterstraße;6;40477;Düsseldorf;Pempelfort;0172 4507785;https://www.duesseldorf.de/amt-fuer-migration-und-integration/welcome-points.html;01;014;32345214;5678986
51.20675519;6.84607147;Sinti-Beratung;Caritasverband Düsseldorf e.V.;;Otto-Pankok-Straße;29;40231;Düsseldorf;Eller;;https://caritas.erzbistum-koeln.de/duesseldorf-cv/beratung_und_hilfe/sinti-beratung/;08;082;32349540;5675022
51.21805316;6.79692554;Welcome Center;Deutscher Paritätischer Wohlfahrtsverband;;Heinz-Schmöle-Straße;7;40227;Düsseldorf;Oberbilk;0157 53625975;https://fluechtlinge-willkommen-in-duesseldorf.de/de/welcome-center-0;03;037;32346145;5676380
51.16821952;6.83788282;Fokusteam Flüchtlinge;Bundesministeriums für Arbeit und Soziales;Jobcenter;Reisholzer Werftstraße;42;40589;Düsseldorf;Holthausen;0211 91747818;https://www.jobcenter-duesseldorf.de/ueber-uns/kontakte-und-ansprechpartner/integration-point-und-fokusteam-fluechtlinge.html;09;093;32348842;5670754
51.2362011;6.81991177;Integration Point Düsseldorf;Bundesministeriums für Arbeit und Soziales;Jobcenter;Grafenberger Allee;300;40237;Düsseldorf;Flingern Nord;0211 6923333;https://www.jobcenter-duesseldorf.de/ueber-uns/kontakte-und-ansprechpartner/integration-point-und-fokusteam-fluechtlinge.html;02;022;32347810;5678350
51.18529708;6.86178331;Welcome Point;Deutsches Rotes Kreuz;Servicestelle für Antidiskriminierungsarbeit in Düsseldorf;Potsdamer Straße;41;40599;Düsseldorf;Hassels;0211 22995857;https://www.duesseldorf.de/amt-fuer-migration-und-integration/integrationsberatungsstellen.html#c111488;09;098;32350568;5672604
