Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
041005;127;71;115;90;148;767;500;233;292
041006;65;38;85;53;78;405;322;144;203
041007;156;71;150;135;137;772;607;234;317
041008;159;88;138;78;141;699;502;246;280
041009;135;73;148;84;104;689;553;259;317
041010;;;;;;;;;
042001;208;116;208;130;134;794;362;123;73
042002;125;57;95;150;176;537;260;108;66
042003;132;90;155;108;144;559;426;237;327
042004;32;27;46;76;64;250;168;72;49
042005;108;60;97;109;170;657;457;238;246
042006;141;64;108;88;107;610;444;206;297
042007;;;;;;;;;
042008;145;79;101;57;81;667;219;67;45
043001;;;;;;;5;;
043002;30;15;31;25;24;141;144;31;39
043003;89;71;153;98;67;447;378;210;280
043004;68;30;99;76;47;348;143;31;38
043005;128;87;137;106;102;627;525;254;844
043006;93;46;87;67;143;689;243;100;172
044001;79;84;156;59;32;351;306;107;131
044002;218;156;203;76;76;866;485;241;296
044003;70;35;79;46;38;311;274;109;153
044004;62;40;46;46;49;324;216;125;160
044005;;;;;;;;;
051001;;;;;;;;;
051002;;;;;;;4;;
051003;26;39;85;63;28;180;186;82;178
051004;103;91;179;186;102;597;586;250;468
051005;53;62;120;100;56;286;333;139;171
051006;38;14;42;37;58;240;182;86;141
052001;;;;;;;;;
052002;95;78;202;182;76;436;461;105;115
052003;96;75;179;190;142;554;612;244;274
052004;;;;;;;;;
053001;;;;;;;;;
053002;50;33;93;47;20;210;209;104;102
053003;67;54;115;78;46;347;311;153;229
053004;50;42;85;43;49;276;218;116;256
053005;91;75;222;121;83;460;408;191;238
053006;118;98;280;202;112;713;624;234;344
054001;;;;;;;;;
054002;93;85;223;122;36;407;483;217;286
054003;170;124;293;194;87;701;635;313;407
054004;106;113;269;146;51;479;371;62;32
054005;127;95;284;121;47;551;398;76;57
055001;;;12;4;3;25;15;3;13
055002;160;147;243;127;76;647;568;216;232
055003;143;127;186;118;73;586;595;302;371
055004;126;69;104;110;105;466;317;177;242
055005;;;;;;;;;
055006;;;6;;;8;7;;5
056001;96;83;185;99;63;410;450;212;291
056002;4;;10;4;;22;19;;
061001;44;21;27;51;46;87;35;;2
061002;157;121;257;282;165;621;668;260;171
061003;180;126;256;185;110;520;336;157;147
061004;62;44;61;70;67;255;277;169;177
062001;;;;;;;;;
062002;143;67;177;213;208;918;872;425;453
062003;118;77;193;138;103;497;339;113;187
062004;44;32;57;40;27;173;167;95;106
062005;85;68;134;74;73;356;436;220;247
062006;135;97;197;169;103;566;581;198;246
062007;96;76;130;137;106;541;564;197;302
062008;187;117;200;253;306;1076;815;385;363
062009;131;55;164;174;178;599;524;207;241
062010;206;124;222;261;258;1047;912;378;496
063001;68;40;92;85;67;338;305;114;140
063002;59;72;145;124;50;293;195;71;70
063003;148;96;148;130;150;565;312;123;136
063004;274;167;265;203;238;919;475;223;291
063005;88;62;136;114;102;413;306;107;111
063006;143;71;165;179;189;590;421;130;172
063007;50;59;71;58;61;261;251;138;136
063008;54;47;79;58;62;306;223;120;128
063009;116;80;116;106;142;603;393;195;197
063010;87;54;107;105;97;466;371;210;164
063011;105;46;106;99;77;366;371;181;256
063012;6;5;8;9;5;35;36;9;11
063013;127;84;164;188;155;548;334;115;96
063014;27;13;34;37;45;102;106;26;19
064001;;;;;;;5;;
064002;145;100;193;202;194;732;506;233;173
064003;42;34;94;80;61;253;209;80;45
064004;159;95;246;198;209;806;691;331;288
064005;141;72;136;151;170;582;391;181;170
064006;211;133;209;181;156;868;595;307;396
064007;527;358;378;166;244;1706;610;205;264
064008;140;90;138;179;160;631;423;208;233
071001;88;77;154;94;73;401;494;206;227
071002;101;76;161;135;115;600;546;341;305
071003;210;135;252;218;188;928;877;387;429
071004;117;92;192;142;121;510;531;268;323
071005;116;90;169;143;138;565;679;305;456
071006;80;55;119;116;70;366;404;156;141
071007;209;115;176;133;126;633;281;101;93
071008;98;74;136;158;96;497;474;192;210
071009;115;69;119;133;156;563;531;207;225
071010;84;32;120;115;106;388;506;221;256
071011;79;49;95;139;129;476;462;188;225
071012;24;23;37;41;36;152;185;93;179
071013;;;;;3;13;28;11;16
071014;;;;;;;;;
071015;132;113;260;204;175;695;576;240;235
071016;128;109;209;217;139;653;573;224;275
072001;108;71;102;84;78;458;362;185;205
072002;133;61;120;111;176;718;456;236;237
072003;104;50;99;105;140;561;459;212;213
073001;65;40;97;154;101;420;280;151;294
073002;211;68;80;68;89;788;385;111;104
073003;167;124;212;149;104;535;516;220;201
073004;35;29;47;32;36;182;181;85;114
073005;75;54;120;96;63;342;413;199;244
074001;14;18;27;29;8;83;148;53;69
074002;63;47;84;75;40;276;320;119;132
075001;143;124;178;120;76;573;439;161;248
081001;103;67;134;204;237;563;342;122;121
081002;89;48;94;127;128;434;420;185;206
081003;90;53;108;106;117;385;320;156;170
081004;265;175;371;340;353;1101;739;315;227
081005;126;88;155;158;161;640;442;208;256
