wohnquartier;unter_6_jahren;6_ bis_unter_10_jahre;10_ bis_unter_18_jahre;18_ bis_unter_25_jahre;25_ bis_unter_30_jahre;30_ bis_unter_50_jahre;50_ bis_unter_65_jahre;65_ bis_unter_75_jahre;75_jahre_und_aelter
041007;131;64;164;130;147;798;558;255;296
041008;149;86;118;92;120;732;489;258;256
041009;125;74;143;84;98;715;509;283;317
041010;;;;;;;;;
042001;106;75;159;93;59;433;290;82;69
042002;119;49;105;157;174;513;246;103;68
042003;152;103;138;138;137;569;446;231;319
042004;37;19;58;50;57;254;181;63;49
042005;107;67;75;134;175;641;460;247;242
042006;131;62;99;89;119;595;425;209;277
042007;;;;;;;;;
042008;136;88;80;50;76;623;190;59;41
043001;;;;;;;;;
043002;31;17;43;20;18;148;140;22;50
043003;92;71;149;93;75;440;380;218;292
043004;72;34;110;63;56;383;128;26;36
043005;138;75;132;101;97;639;509;275;846
043006;87;57;95;68;168;653;222;91;156
044001;92;107;137;58;34;375;261;108;121
044002;187;152;202;88;91;864;464;251;289
044003;67;44;77;48;46;330;252;126;144
044004;57;30;49;41;60;298;211;123;163
044005;;;;;;;;;
051001;;;;;;;;;
051002;;;;;;;;;
051003;29;42;85;51;25;168;170;106;165
051004;117;104;196;174;137;605;542;263;453
051005;59;58;127;98;62;306;297;144;174
051006;30;17;40;39;54;227;181;92;144
052001;;;;;;;;;
052002;89;80;237;169;106;459;418;104;112
052003;110;68;167;186;134;569;587;252;276
052004;;;;;;;;;
053001;;;;;;;;;
053002;55;29;96;55;22;211;222;105;92
053003;63;55;119;78;50;343;320;168;217
053004;52;32;87;40;57;252;213;129;240
053005;99;78;222;139;79;496;372;194;219
053006;132;123;260;183;133;735;587;265;320
054001;;;;;;;;;
054002;80;99;231;120;48;417;464;224;262
054003;142;114;300;176;83;665;577;318;398
054004;123;122;294;109;44;551;313;57;23
054005;139;93;288;107;51;605;346;71;52
055001;;;;;;;;;
055002;185;136;221;123;87;648;525;228;216
055003;134;123;165;122;86;560;584;300;361
055004;117;62;102;142;100;455;313;188;227
055005;;;;;;;;;
055006;;;;;;;;;
056001;99;107;166;112;70;428;434;218;281
056002;;;;;;;;;
061001;55;32;35;53;40;80;28;3;
061002;181;114;273;298;186;639;690;233;167
061003;173;144;241;176;131;530;325;163;135
061004;41;32;64;64;42;226;280;142;187
062001;;;;;;;;;
062002;133;94;158;209;216;945;876;421;465
062003;128;74;175;134;125;466;340;123;210
062004;47;25;61;47;23;186;160;111;103
062005;78;72;119;91;72;375;436;219;234
062006;102;82;193;158;88;542;565;215;233
062007;110;86;116;140;92;565;527;189;304
062008;172;121;221;227;276;997;824;319;375
062009;120;59;157;170;154;649;509;196;244
062010;201;113;233;285;279;1043;857;361;491
063001;65;38;86;93;67;339;293;120;145
063002;61;62;168;110;50;315;180;65;75
063003;130;88;113;128;127;486;316;135;131
063004;277;170;256;209;243;885;463;234;326
063005;90;59;113;126;113;404;294;111;109
063006;123;73;152;183;201;568;395;126;184
063007;50;49;76;59;63;250;231;140;119
063008;60;48;79;42;61;340;217;128;135
063009;110;64;101;107;127;600;398;202;187
063010;92;63;109;108;110;471;375;220;164
063011;94;51;90;84;83;376;363;176;254
063012;;;;;;;;;
063013;129;84;180;182;160;572;335;110;102
063014;34;21;30;52;47;100;107;22;19
064001;;;;;;;;;
064002;181;114;221;228;226;741;486;241;168
064003;50;36;105;88;62;267;206;66;46
064004;162;120;241;221;209;820;680;292;322
