wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
038001001;151;107;193;125;189;922;621;330;279
038001002;;;;;;;;;
041001001;64;52;86;38;49;326;208;107;150
041002001;104;73;136;89;107;647;438;155;278
041003001;182;112;174;91;148;921;514;166;183
041004001;153;94;176;107;166;825;609;234;291
041004002;146;71;145;116;152;727;594;232;326
041004003;128;65;151;97;118;647;515;222;283
041005001;107;58;123;104;165;732;515;213;276
041005002;80;39;101;52;87;439;342;155;187
041006001;101;63;139;104;100;582;574;228;327
041006002;;;3;;;4;;;
042001001;298;165;253;150;179;1288;446;177;167
042002001;95;86;119;134;122;604;282;108;67
042003001;110;89;178;143;114;589;423;254;291
042004001;53;35;73;96;97;391;238;121;107
042005001;89;51;105;82;125;601;376;207;186
042006001;103;78;131;77;96;601;500;187;328
042006002;;;;;;;;;
042007001;108;95;130;54;100;648;244;82;51
043001001;;;;;;6;3;;
043001002;152;120;208;140;146;874;647;323;798
043002001;106;61;146;96;85;460;387;200;296
043003001;60;58;92;97;55;346;245;64;53
043004001;136;70;113;72;178;931;292;101;160
044001001;41;63;145;85;29;250;346;116;137
044001002;;;;;;;;;
044002001;165;161;250;127;79;848;491;238;295
044003001;61;46;83;53;43;306;298;97;154
044004001;43;42;67;44;49;313;234;117;172
051001001;;;;;;;;;
051001002;;;;;;;;;
051001003;86;62;150;92;54;407;349;128;201
051002001;43;37;80;96;89;315;361;164;294
051003001;55;37;126;108;54;287;327;124;174
051004001;55;42;79;88;89;304;322;141;218
052001001;;;;;;;;;
052001002;79;87;189;169;82;414;501;147;119
052001003;114;90;179;172;128;630;622;276;278
052001004;;;;;;;;;
053001001;;;;;;;;;
053001002;52;48;102;57;37;261;245;120;132
053001003;49;49;91;71;55;253;315;115;202
053001004;83;74;175;132;84;446;408;184;272
053001005;124;76;254;228;115;665;645;277;317
053002001;44;40;80;66;38;242;255;111;250
054001001;;;;;;;;;
054001002;103;82;191;122;52;383;475;227;271
054001003;136;130;309;180;89;641;630;325;446
