Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
11001;81;33;82;177;280;816;479;183;273
11002;;;;;;;;;
12001;92;66;85;128;168;740;482;263;261
12002;;;;;;;;;
13001;4;7;4;25;27;90;41;19;23
13002;90;25;52;184;293;777;329;158;168
13003;104;54;88;214;406;1166;510;244;225
13004;92;45;63;200;304;739;392;151;131
13005;94;61;100;265;352;776;332;146;81
13006;108;73;114;258;404;1062;460;170;168
13007;140;78;142;214;287;842;453;170;160
14001;;;;;;;;;
14002;127;38;73;90;164;720;373;195;207
14003;123;50;65;126;258;876;382;226;170
14004;76;39;65;156;239;751;379;171;177
14005;111;42;100;142;304;800;385;186;220
14006;93;51;73;69;144;530;266;90;84
14007;122;51;149;185;343;890;430;181;174
14008;91;35;71;155;248;686;324;135;101
14009;65;38;62;112;266;671;311;131;137
14010;150;76;94;99;212;871;473;282;333
14011;118;64;91;102;184;676;366;142;146
14012;93;30;50;111;263;841;349;148;142
14013;112;48;96;121;264;797;365;177;172
14014;158;50;87;114;234;869;424;192;251
14015;84;34;73;182;340;850;411;162;177
14016;464;121;84;90;325;1886;367;117;81
15001;;;4;;;;4;;
15002;61;23;56;65;79;271;230;104;91
15003;67;32;64;97;104;371;302;104;152
15004;;;;;;3;3;8;
15005;247;78;126;102;165;1080;360;106;99
15006;126;67;98;199;313;965;559;248;229
15007;112;46;99;131;220;791;427;239;347
15008;125;68;122;224;351;921;486;201;202
15009;101;38;79;121;275;812;453;217;247
15010;74;40;82;105;218;499;275;128;127
15011;86;42;96;151;181;554;360;199;246
15012;108;51;89;176;304;841;355;142;156
15013;;;;;;;;;
16001;;;;;;;;;
16002;90;43;96;91;91;378;286;129;174
16003;208;104;185;220;246;1066;698;300;354
16004;;;;;;;;;
16005;159;67;121;125;249;965;574;260;323
16006;190;99;151;125;158;953;604;269;239
16007;126;59;110;80;149;770;472;233;202
21001;117;54;132;180;253;653;312;119;130
21002;112;69;141;171;231;679;364;127;96
21003;111;55;108;172;203;689;404;215;237
21004;88;54;109;190;206;570;322;121;78
21005;72;43;73;91;168;456;238;116;109
21006;37;29;64;42;44;236;171;49;24
21007;18;10;15;42;44;136;80;38;27
22001;83;34;75;143;280;812;391;164;299
22002;107;54;93;138;206;811;412;174;173
22003;97;65;108;170;279;791;398;143;125
22004;82;37;65;118;174;574;290;131;102
22005;161;64;112;97;166;776;376;165;149
22006;87;44;81;140;220;650;347;128;182
22007;123;63;94;141;208;878;439;183;168
22008;95;47;55;104;145;619;237;114;134
22009;31;15;42;62;97;290;164;83;83
22010;378;96;99;73;190;1164;254;88;87
22011;96;71;168;132;127;576;440;177;207
22012;200;124;260;275;189;747;592;218;221
22013;45;28;90;74;89;256;237;105;81
23001;89;34;57;77;82;332;169;93;74
23002;122;64;125;147;203;711;439;175;228
23003;161;77;124;137;237;907;503;228;282
