wohnquartier;unter_6_jahre;6_ bis_unter_10_jahre;10_ bis_unter_18_jahre;18_ bis_unter_25_jahre;25_ bis_unter_30_jahre;30_ bis_unter_50_jahre;50_ bis_unter_65_jahre;65_ bis_unter_75_jahre;75_jahre_und_aelter
098007;216;165;146;659;629;379;386;379;386
098008;109;128;132;434;293;169;120;169;120
098009;151;179;128;548;584;266;333;266;333
098010;0;0;0;0;0;0;0;0;0
101001;107;72;42;168;85;23;15;23;15
101002;113;111;81;366;332;107;194;107;194
101003;115;105;80;325;331;128;238;128;238
101004;262;218;178;720;643;224;425;224;425
101005;137;150;106;477;375;162;320;162;320
101006;168;144;123;468;386;206;300;206;300
101007;0;0;0;0;0;0;0;0;0
101008;165;140;93;428;350;171;302;171;302
101009;161;158;166;486;400;203;194;203;194
101010;223;184;153;517;369;163;170;163;170
101011;136;133;94;417;437;191;382;191;382
101012;34;34;14;65;134;44;35;44;35
101013;0;0;0;0;0;0;0;0;0
101014;0;0;0;0;0;0;0;0;0
102001;87;69;26;230;210;152;149;152;149
102002;159;219;168;564;860;178;133;178;133
102003;195;211;129;568;710;287;175;287;175
102004;0;3;.;7;10;5;0;5;0
