Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
041005;110;72;129;94;140;778;514;227;294
041006;65;43;90;50;73;398;335;152;194
041007;158;69;148;131;134;749;608;230;322
041008;150;83;140;85;122;671;521;243;285
041009;131;68;138;99;104;654;539;264;319
041010;;;3;;;;;;
042001;234;126;215;136;142;834;370;137;77
042002;127;58;95;120;162;521;271;102;68
042003;122;90;162;111;129;552;430;242;322
042004;27;30;55;64;58;247;174;67;54
042005;124;72;113;110;157;662;460;234;254
042006;132;72;110;88;101;597;455;214;296
042007;;;;;;;;;
042008;135;86;92;43;79;631;223;76;48
043001;;;;;;;4;;
043002;33;15;30;25;16;142;142;38;39
043003;91;64;150;101;80;434;388;197;285
043004;58;26;96;70;53;314;157;35;37
043005;120;89;133;100;104;608;551;253;834
043006;89;53;69;55;134;688;244;98;166
044001;75;69;157;64;35;328;312;112;135
044002;213;138;225;88;69;854;480;232;304
044003;64;36;81;40;40;309;272;116;152
044004;59;35;54;46;52;327;227;122;157
044005;;;;;;;;;
051001;;;;;;;;;
051002;;;;;;;4;;
051003;34;36;80;57;37;198;194;88;173
051004;99;76;189;177;115;563;613;239;467
051005;47;63;123;102;60;279;330;138;177
051006;39;17;45;48;54;220;190;82;138
052001;;;;;;;;;
052002;98;83;206;175;69;417;490;104;122
052003;107;81;172;192;139;585;603;249;273
052004;;;;;;;;;
053001;;;;;;;;;
053002;43;38;91;49;20;202;216;106;102
053003;63;46;103;78;40;328;327;142;220
053004;46;39;80;50;35;258;236;124;245
053005;91;78;201;131;79;439;403;194;243
053006;115;111;272;202;107;714;626;238;352
054001;;;;;;;;;
054002;98;78;219;109;44;372;492;216;289
054003;153;130;284;182;70;698;643;307;412
054004;72;118;272;151;43;450;393;64;33
054005;112;96;265;135;39;508;433;79;58
055001;4;;12;5;;22;17;3;14
055002;151;149;264;126;77;623;581;213;239
055003;152;120;194;115;51;577;594;306;373
055004;135;65;116;105;94;473;325;173;243
055005;;;;;;;;;
055006;;;5;;;4;10;;5
056001;100;86;193;99;61;413;459;211;298
056002;4;1;6;4;4;19;21;;
061001;29;15;18;36;36;76;28;4;
061002;152;121;266;273;147;603;674;279;178
061003;157;129;239;188;105;535;328;166;143
061004;61;48;65;62;59;265;278;169;171
062001;;;;;;;;;
062002;129;82;167;211;212;917;866;430;448
062003;119;73;194;121;128;496;344;113;180
062004;34;36;57;39;24;152;175;97;101
062005;88;74;133;87;62;375;437;212;243
062006;122;101;190;177;92;559;586;210;237
062007;103;77;129;130;115;542;577;206;296
062008;194;107;199;261;320;1113;800;407;336
062009;110;63;162;159;183;596;512;211;238
062010;220;124;231;253;233;1079;907;392;486
063001;59;51;85;86;75;319;292;124;139
063002;63;56;144;132;52;273;205;79;69
063003;157;108;169;150;188;649;335;130;140
063004;264;164;284;203;234;937;469;216;280
063005;81;52;131;113;115;396;313;103;108
063006;138;75;163;171;165;590;419;136;158
063007;51;52;78;58;45;270;239;147;135
063008;43;56;82;55;57;294;219;126;129
063009;121;80;122;103;140;591;396;207;186
063010;97;57;110;112;92;455;358;204;175
063011;92;40;106;100;73;362;351;199;245
063012;7;4;8;10;7;35;37;9;10
063013;125;88;172;183;151;554;346;108;98
063014;34;12;31;33;43;104;111;26;20
064001;;;;;;4;4;;
064002;129;91;191;213;172;734;501;231;177
064003;45;28;84;100;60;234;218;83;44
064004;157;95;235;210;207;784;672;356;284
064005;131;71;141;138;173;580;396;177;178
064006;207;132;211;172;169;845;623;294;382
064007;486;360;410;163;248;1726;654;220;272
064008;142;84;120;166;148;614;409;209;222
071001;85;72;157;91;78;399;468;219;220
071002;92;71;152;130;108;578;552;338;313
071003;212;139;237;205;172;923;894;382;438
071004;112;93;187;124;103;504;522;272;329
071005;115;83;170;138;112;564;663;333;437
071006;77;63;107;112;68;356;401;164;130
071007;200;123;199;141;129;652;306;118;92
071008;103;70;142;139;104;510;467;215;206
071009;107;68;122;122;148;563;535;213;225
071010;80;42;121;119;87;380;514;233;256
071011;76;50;94;131;120;482;455;191;225
071012;21;19;42;34;31;144;188;89;181
071013;;;;;;13;29;12;15
071014;;;;;;;;;
071015;113;103;274;206;161;656;576;250;215
071016;127;111;207;217;134;644;584;227;276
072001;112;72;111;91;85;445;371;189;203
072002;125;63;125;113;162;718;459;238;226
072003;98;54;94;119;98;574;454;223;223
073001;67;34;99;160;89;409;275;141;296
073002;171;87;74;63;89;767;404;106;101
073003;140;116;200;119;90;491;508;213;210
073004;44;30;54;32;36;200;185;88;116
073005;82;54;127;98;58;327;420;205;232
074001;15;17;30;26;10;84;150;53;72
074002;61;53;86;76;46;270;320;133;130
075001;137;100;204;109;71;560;457;153;256
081001;103;60;129;205;235;553;337;119;126
081002;90;43;92;117;120;446;420;180;198
081003;85;55;104;111;97;383;332;159;174
081004;238;170;361;339;317;1092;749;312;234
081005;120;75;162;154;172;616;459;216;249
082001;168;92;198;248;241;977;686;291;325
082002;110;87;174;143;84;445;345;138;200
082003;148;93;200;144;134;533;333;163;167
