wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
038001001;146;98;162;114;187;897;628;315;285
038001002;;;;;;;;;
041001001;80;48;82;32;52;336;212;117;134
041002001;113;77;134;99;104;660;431;169;277
041003001;184;110;162;96;159;922;492;153;181
041004001;152;90;167;112;162;836;599;253;300
041004002;139;71;148;128;152;741;605;238;321
041004003;142;81;143;93;107;669;535;226;279
041005001;119;79;118;104;149;764;507;220;284
041005002;66;40;98;62;79;407;352;145;197
041006001;111;70;147;99;103;625;570;259;328
041006002;;;3;;;4;;;
042001001;278;144;229;149;160;1048;417;151;83
042002001;96;84;115;133;131;538;282;101;61
042003001;110;105;174;112;113;579;415;242;320
042004001;68;41;86;114;91;377;252;115;112
042005001;78;41;101;84;125;561;396;194;203
042006001;125;79;114;73;115;600;483;205;316
042006002;;;;;;;;;
042007001;131;99;101;48;102;651;235;79;51
043001001;;;;;;6;;;
043001002;115;81;151;111;111;691;635;290;789
043002001;99;61;142;81;82;431;385;201;295
043003001;81;56;106;87;62;359;250;60;54
043004001;85;65;68;66;96;701;230;105;173
044001001;53;66;160;59;21;283;332;114;127
044001002;;;;;;;;;
044002001;194;137;242;102;81;847;489;234;312
044003001;71;41;78;37;47;311;295;107;160
044004001;42;41;60;41;59;318;232;125;167
051001001;;;;;;;;;
051001002;3;;4;4;4;3;5;;
051001003;92;57;137;74;53;382;325;126;212
051002001;58;41;94;123;79;342;389;142;296
051003001;48;46;121;123;56;284;341;120;169
051004001;64;40;83;94;80;302;326;137;240
052001001;;;;;;;;;
052001002;83;75;188;172;85;397;514;119;115
052001003;125;89;184;180;138;619;628;261;269
052001004;;;;;;;;;
053001001;;;;;;;;;
053001002;51;51;94;63;24;260;256;114;124
053001003;54;33;97;80;37;256;319;123;192
053001004;78;83;190;120;82;431;404;194;255
053001005;122;84;271;218;119;656;651;249;341
053002001;46;43;90;53;40;251;258;122;246
054001001;;;;;;;;;
054001002;91;85;219;133;56;380;493;217;284
054001003;156;120;300;163;76;655;653;329;425
054002001;69;87;254;169;46;402;430;68;42
054002002;101;101;234;151;42;466;468;83;68
055001001;6;;12;7;;21;21;5;9
055001002;180;154;299;128;55;705;602;216;243
055001003;135;124;204;112;62;550;574;309;364
055001004;119;109;133;95;99;491;344;166;231
055001005;;;;;;;;;
055001006;;;9;;;5;11;;4
056001001;117;83;211;86;72;415;451;213;292
056001002;3;;4;3;6;19;19;4;
061001001;45;31;34;34;29;92;28;;
061001002;178;136;274;226;157;670;654;303;185
061002001;138;121;231;183;133;539;353;157;147
061003001;63;55;79;60;48;287;257;178;169
062001001;;;;;;;;;
062001002;142;106;174;216;259;942;908;432;433
062002001;107;85;176;140;129;509;354;112;166
062003001;142;128;218;139;66;553;613;325;338
062004001;135;106;183;156;103;576;576;217;227
062005001;193;138;210;261;263;1133;807;422;318
062005002;99;64;151;168;158;631;484;237;215
062006001;98;76;150;103;112;551;574;223;283
062007001;202;133;240;244;238;1037;942;397;481
063001001;52;60;78;88;73;311;283;134;137
063002001;44;50;130;139;51;259;215;81;73
063003001;79;57;96;86;81;276;214;72;62
063003002;120;71;123;99;138;503;209;90;94
063004001;263;196;322;218;200;1037;499;215;349
063004002;82;59;133;140;127;406;330;128;107
063004003;118;85;165;183;164;609;425;148;162
063005001;64;46;90;64;42;284;224;147;137
063006001;64;43;96;69;62;300;233;115;142
063006002;8;;11;9;;37;38;9;7
063007001;120;69;146;152;179;630;388;205;186
063008001;86;59;108;113;109;422;312;207;177
063008002;181;105;203;216;216;735;380;133;97
063009001;72;54;88;81;85;367;318;211;222
064001001;;;;;;6;3;;
064001002;183;140;307;311;235;989;758;336;231
064002001;131;113;233;202;214;806;659;360;269
064002002;123;67;159;138;184;627;422;171;181
064003001;202;155;231;174;183;889;633;310;363
064004001;420;373;489;152;233;1702;694;228;270
064004002;145;89;143;149;147;645;369;212;217
071001001;79;81;159;94;57;394;466;235;215
071002001;102;63;132;121;111;579;542;340;319
071003001;177;122;241;218;150;881;894;378;430
071003002;99;73;160;126;91;464;586;308;385
071003003;39;29;69;56;38;258;243;133;212
071004001;105;88;194;118;94;480;519;293;339
071005001;68;66;124;103;82;340;403;154;149
071006001;182;142;201;151;118;676;362;132;131
071007001;110;77;138;124;101;517;471;241;195
071007002;103;68;126;126;138;570;519;224;227
071007003;65;56;103;102;95;384;508;234;254
071007004;3;;;3;;12;35;12;15
071008001;90;42;93;114;137;493;427;201;218
071008002;123;106;269;237;168;708;585;245;186
071009001;;;;;;;;;
071010001;121;117;191;198;155;613;583;241;262
072001001;96;82;105;85;94;435;370;187;203
072001002;138;65;136;105;183;753;446;208;243
072002001;99;52;98;112;100;564;448;214;240
073001001;71;49;91;132;110;409;284;137;292
073002001;152;87;92;54;91;748;426;121;101
073003001;132;106;219;117;69;489;495;227;203
073004001;71;58;101;65;42;321;312;137;147
073005001;44;31;66;60;48;218;298;153;199
074001001;78;78;138;94;54;392;434;197;212
075001001;139;104;196;114;78;552;466;168;257
081001001;109;53;108;173;221;537;346;124;127
081002001;94;55;108;115;116;469;421;204;175
081003001;90;57;100;113;91;368;311;171;163
081004001;225;164;371;379;253;1143;755;298;245
081005001;112;80;163;165;183;628;459;213;236
082001001;159;85;181;198;250;843;608;288;320
082001002;98;87;188;153;92;450;357;144;188
082002001;139;90;203;125;125;518;338;173;170
082003001;87;55;122;116;86;404;445;235;211
082003002;75;53;74;55;61;263;223;88;131
082003003;71;50;111;83;70;349;329;192;185
082003004;;;;;;;;;
082004001;;;;;;3;5;;
082004002;154;100;204;196;190;711;593;252;390
082005001;126;84;146;193;211;624;492;173;165
082005002;113;80;128;152;207;664;530;217;236
082005003;142;106;161;138;142;575;450;203;195
082006001;146;97;170;220;242;817;625;277;295
082006002;135;84;171;232;223;811;592;284;295
